 * Running on http://10.244.19.130:8080/ (Press CTRL+C to quit)
10.0.3.89 - - [16/Mar/2017 15:33:20] "POST /insertdata HTTP/1.1" 200 -
10.0.3.68 - - [16/Mar/2017 15:33:21] "POST /insertdata HTTP/1.1" 200 -
10.0.3.54 - - [16/Mar/2017 15:33:22] "POST /insertdata HTTP/1.1" 200 -
10.0.3.80 - - [16/Mar/2017 15:33:22] "POST /insertdata HTTP/1.1" 200 -
10.0.3.238 - - [16/Mar/2017 15:33:22] "POST /insertdata HTTP/1.1" 200 -
10.0.3.94 - - [16/Mar/2017 15:33:22] "POST /insertdata HTTP/1.1" 200 -
10.0.3.216 - - [16/Mar/2017 15:33:22] "POST /insertdata HTTP/1.1" 200 -
10.0.3.89 - - [16/Mar/2017 15:33:22] "POST /insertdata HTTP/1.1" 200 -
10.0.3.68 - - [16/Mar/2017 15:33:23] "POST /insertdata HTTP/1.1" 200 -
10.0.3.54 - - [16/Mar/2017 15:33:24] "POST /insertdata HTTP/1.1" 200 -
10.0.3.80 - - [16/Mar/2017 15:33:24] "POST /insertdata HTTP/1.1" 200 -
10.0.3.238 - - [16/Mar/2017 15:33:24] "POST /insertdata HTTP/1.1" 200 -
10.0.3.94 - - [16/Mar/2017 15:33:24] "POST /insertdata HTTP/1.1" 200 -
10.0.3.216 - - [16/Mar/2017 15:33:24] "POST /insertdata HTTP/1.1" 200 -
10.0.3.89 - - [16/Mar/2017 15:33:24] "POST /insertdata HTTP/1.1" 200 -
10.0.3.68 - - [16/Mar/2017 15:33:25] "POST /insertdata HTTP/1.1" 200 -
10.0.3.54 - - [16/Mar/2017 15:33:26] "POST /insertdata HTTP/1.1" 200 -
10.0.3.80 - - [16/Mar/2017 15:33:26] "POST /insertdata HTTP/1.1" 200 -
10.244.19.130 - - [16/Mar/2017 15:33:26] "GET /nodedata HTTP/1.1" 200 -
10.0.3.238 - - [16/Mar/2017 15:33:26] "POST /insertdata HTTP/1.1" 200 -
10.0.3.216 - - [16/Mar/2017 15:33:26] "POST /insertdata HTTP/1.1" 200 -
10.0.3.94 - - [16/Mar/2017 15:33:26] "POST /insertdata HTTP/1.1" 200 -
10.0.3.89 - - [16/Mar/2017 15:33:26] "POST /insertdata HTTP/1.1" 200 -
10.0.3.68 - - [16/Mar/2017 15:33:27] "POST /insertdata HTTP/1.1" 200 -
10.0.3.54 - - [16/Mar/2017 15:33:28] "POST /insertdata HTTP/1.1" 200 -
10.0.3.80 - - [16/Mar/2017 15:33:28] "POST /insertdata HTTP/1.1" 200 -
10.0.3.238 - - [16/Mar/2017 15:33:28] "POST /insertdata HTTP/1.1" 200 -
10.0.3.94 - - [16/Mar/2017 15:33:28] "POST /insertdata HTTP/1.1" 200 -
10.0.3.216 - - [16/Mar/2017 15:33:28] "POST /insertdata HTTP/1.1" 200 -
10.0.3.89 - - [16/Mar/2017 15:33:28] "POST /insertdata HTTP/1.1" 200 -
10.0.3.68 - - [16/Mar/2017 15:33:29] "POST /insertdata HTTP/1.1" 200 -
10.0.3.54 - - [16/Mar/2017 15:33:30] "POST /insertdata HTTP/1.1" 200 -
10.0.3.80 - - [16/Mar/2017 15:33:30] "POST /insertdata HTTP/1.1" 200 -
10.0.3.238 - - [16/Mar/2017 15:33:30] "POST /insertdata HTTP/1.1" 200 -
10.0.3.216 - - [16/Mar/2017 15:33:30] "POST /insertdata HTTP/1.1" 200 -
10.0.3.94 - - [16/Mar/2017 15:33:30] "POST /insertdata HTTP/1.1" 200 -
10.0.3.89 - - [16/Mar/2017 15:33:30] "POST /insertdata HTTP/1.1" 200 -
10.0.3.68 - - [16/Mar/2017 15:33:31] "POST /insertdata HTTP/1.1" 200 -
10.0.3.54 - - [16/Mar/2017 15:33:32] "POST /insertdata HTTP/1.1" 200 -
10.0.3.80 - - [16/Mar/2017 15:33:32] "POST /insertdata HTTP/1.1" 200 -
10.0.3.238 - - [16/Mar/2017 15:33:32] "POST /insertdata HTTP/1.1" 200 -
10.0.3.216 - - [16/Mar/2017 15:33:32] "POST /insertdata HTTP/1.1" 200 -
10.0.3.94 - - [16/Mar/2017 15:33:32] "POST /insertdata HTTP/1.1" 200 -
10.0.3.89 - - [16/Mar/2017 15:33:32] "POST /insertdata HTTP/1.1" 200 -
10.0.3.68 - - [16/Mar/2017 15:33:33] "POST /insertdata HTTP/1.1" 200 -
